salary,emp_no
65405,10412
45416,10413
43255,10414
50219,10415
68993,10416
78571,10417
52224,10418
40569,10419
69604,10420
40000,10421
45725,10422
51183,10423
50054,10424
40000,10425
65757,10426
79320,10427
40000,10428
40000,10429
40000,10430
67068,10431
40000,10432
40000,10433
40000,10434
45352,10435
40000,10436
59749,10437
40000,10438
62401,10439
54615,10440
40000,10441
46005,10442
55299,10443
86407,10444
59438,10445
48170,10446
40000,10447
48558,10448
55316,10449
40000,10450
46275,10451
40000,10452
40000,10453
84280,10454
98251,10455
57599,10456
60672,10457
76973,10458
40000,10459
40000,10460
82217,10461
40000,10462
66480,10463
40000,10464
59124,10465
55318,10466
79905,10467
40000,10468
42697,10469
49593,10470
58951,10471
48561,10472
41613,10473
43948,10474
51203,10475
58221,10476
55138,10477
40000,10478
40000,10479
55669,10480
40000,10481
79330,10482
47423,10483
40000,10484
47265,10485
71692,10486
45083,10487
40000,10488
56739,10489
62973,10490
66740,10491
60838,10492
43998,10493
50094,10494
75661,10495
41835,10496
63707,10497
40000,10498
40000,10499
42688,10500
53922,10501
40000,10502
40000,10503
43931,10504
63696,10505
40000,10506
40000,10507
46204,10508
49292,10509
69341,10510
40000,10511
40000,10512
86392,10513
48428,10514
91484,10515
74920,10516
65330,10517
51168,10518
40000,10519
40000,10520
91262,10521
40000,10522
40000,10523
49950,10524
87439,10525
40000,10526
43405,10527
63813,10528
47840,10529
68487,10530
49168,10531
87468,10532
57135,10533
40000,10534
47272,10535
57487,10536
75976,10537
72002,10538
102092,10539
66067,10540
50741,10541
40000,10542
86526,10543
45092,10544
57752,10545
46871,10546
40000,10547
90631,10548
63795,10549
40000,10550
53473,10551
80483,10552
73618,10553
54763,10554
73486,10555
68797,10556
43289,10557
70012,10558
90120,10559
40000,10560
57319,10561
59596,10562
41280,10563
46660,10564
40000,10565
40000,10566
43717,10567
64356,10568
54732,10569
80145,10570
43658,10571
40000,10572
87241,10573
40000,10574
40523,10575
63861,10576
48286,10577
47301,10578
61438,10579
40000,10580
46569,10581
40973,10582
79782,10583
66898,10584
58389,10585
47541,10586
81562,10587
41478,10588
57215,10589
51930,10590
55131,10591
55997,10592
71435,10593
40000,10594
40000,10595
58689,10596
64739,10597
43329,10598
51952,10599
53535,10600
40000,10601
55058,10602
101271,10603
50849,10604
43162,10605
40000,10606
55024,10607
40000,10608
80458,10609
49812,10610
40000,10611
40000,10612
40000,10613
40000,10614
43533,10615
87010,10616
40000,10617
41127,10618
81662,10619
48584,10620
68991,10621
40000,10622
60268,10623
40000,10624
59732,10625
40000,10626
40000,10627
41650,10628
87045,10629
40000,10630
40000,10631
81733,10632
81900,10633
45179,10634
40000,10635
40904,10636
103579,10637
41573,10638
46291,10639
65156,10640
41785,10641
40000,10642
46600,10643
75403,10644
40000,10645
51562,10646
48302,10647
40000,10648
40000,10649
43591,10650
42023,10651
53160,10652
40000,10653
49062,10654
82968,10655
40658,10656
52462,10657
60978,10658
40000,10659
41814,10660
48179,10661
71708,10662
47521,10663
48215,10664
40000,10665
78258,10666
40000,10667
65326,10668
40000,10669
74595,10670
74037,10671
64663,10672
40000,10673
40000,10674
62205,10675
58226,10676
56994,10677
60389,10678
40000,10679
40000,10680
84136,10681
40000,10682
40000,10683
45861,10684
60601,10685
50869,10686
40000,10687
88410,10688
40000,10689
72028,10690
46745,10691
81380,10692
40000,10693
53020,10694
85720,10695
68913,10696
40000,10697
40000,10698
40000,10699
41400,10700
74949,10701
46581,10702
56724,10703
40000,10704
83673,10705
56139,10706
49504,10707
43514,10708
40000,10709
78877,10710
41824,10711
40000,10712
70575,10713
48821,10714
42323,10715
44101,10716
57525,10717
75473,10718
40000,10719
45832,10720
40000,10721
70199,10722
40000,10723
42347,10724
79207,10725
46315,10726
58253,10727
40000,10728
40000,10729
62107,10730
77892,10731
40000,10732
48013,10733
47377,10734
40000,10735
40000,10736
73505,10737
53510,10738
40000,10739
62138,10740
50265,10741
67405,10742
77435,10743
89495,10744
40000,10745
40000,10746
51538,10747
54532,10748
60829,10749
40000,10750
50052,10751
40000,10752
59507,10753
61081,10754
40000,10755
40000,10756
49134,10757
54186,10758
40000,10759
40000,10760
49974,10761
52172,10762
70160,10763
70720,10764
54339,10765
40000,10766
40651,10767
65717,10768
70229,10769
63401,10770
42658,10771
40000,10772
40000,10773
47119,10774
43898,10775
58145,10776
40000,10777
64996,10778
47332,10779
43654,10780
40000,10781
40000,10782
40000,10783
43003,10784
46165,10785
40000,10786
51707,10787
54887,10788
40000,10789
62801,10790
40000,10791
63324,10792
40000,10793
43485,10794
84206,10795
41785,10796
41005,10797
48210,10798
50539,10799
40000,10800
67302,10801
40000,10802
54260,10803
40000,10804
48778,10805
63146,10806
60203,10807
40000,10808
40485,10809
56062,10810
40000,10811
49418,10812
53246,10813
59378,10814
40000,10815
50240,10816
54602,10817
40000,10818
54631,10819
62182,10820
40000,10821
40110,10822
40000,10823
48813,10824
62199,10825
59506,10826
58322,10827
56559,10828
40000,10829
47420,10830
82330,10831
69585,10832
40000,10833
53869,10834
40000,10835
65502,10836
80879,10837
54762,10838
47625,10839
40000,10840
40000,10841
50760,10842
40000,10843
40000,10844
71307,10845
40000,10846
40000,10847
50475,10848
66065,10849
64525,10850
46644,10851
68153,10852
53029,10853
40000,10854
40000,10855
42965,10856
61549,10857
47847,10858
65600,10859
40000,10860
40000,10861
81455,10862
47486,10863
63243,10864
76287,10865
52131,10866
40000,10867
54496,10868
40000,10869
57493,10870
40000,10871
40000,10872
65835,10873
56071,10874
40000,10875
61389,10876
52537,10877
72102,10878
65651,10879
42551,10880
40000,10881
40000,10882
40000,10883
41750,10884
78613,10885
40000,10886
69570,10887
44183,10888
61892,10889
67703,10890
40000,10891
40000,10892
79803,10893
56923,10894
67103,10895
40000,10896
92925,10897
57590,10898
51956,10899
50054,10900
46600,10901
44359,10902
48377,10903
54328,10904
40000,10905
66204,10906
40000,10907
40000,10908
80935,10909
40000,10910
78637,10911
45665,10912
62428,10913
55565,10914
70564,10915
47842,10916
75182,10917
59521,10918
88498,10919
40000,10920
72601,10921
51997,10922
51933,10923
84783,10924
40000,10925
43219,10926
51819,10927
40000,10928
40000,10929
53785,10930
63662,10931
40000,10932
40000,10933
48342,10934
52007,10935
40000,10936
40000,10937
68677,10938
44203,10939
74987,10940
41721,10941
40000,10942
45890,10943
42872,10944
48633,10945
59531,10946
43068,10947
47252,10948
58253,10949
40000,10950
40000,10951
40000,10952
60970,10953
40000,10954
97936,10955
40000,10956
50675,10957
56563,10958
76685,10959
60491,10960
72047,10961
77274,10962
43878,10963
70157,10964
61654,10965
70464,10966
40000,10967
71593,10968
40000,10969
40000,10970
52453,10971
40000,10972
54616,10973
56005,10974
40000,10975
40000,10976
40000,10977
48115,10978
55955,10979
57614,10980
80674,10981
46503,10982
44062,10983
46645,10984
40000,10985
43900,10986
46108,10987
54174,10988
46406,10989
40000,10990
55946,10991
74318,10992
40000,10993
41471,10994
40000,10995
43564,10996
40000,10997
62861,10998
55946,10999
54654,11000
47199,11001
49909,11002
40000,11003
40226,11004
41901,11005
63287,11006
40000,11007
65018,11008
75111,11009
77160,11010
58931,11011
72092,11012
72427,11013
56447,11014
57076,11015
56498,11016
40000,11017
75379,11018
69387,11019
46493,11020
62670,11021
85058,11022
46292,11023
85419,11024
40000,11025
54590,11026
40000,11027
41111,11028
90110,11029
49948,11030
71654,11031
40000,11032
57239,11033
40000,11034
62108,11035
49051,11036
40000,11037
44993,11038
40000,11039
53648,11040
55068,11041
40000,11042
40000,11043
43441,11044
40000,11045
68001,11046
40000,11047
65697,11048
64700,11049
52251,11050
40000,11051
40000,11052
50489,11053
40000,11054
70811,11055
79354,11056
66650,11057
40000,11058
58271,11059
57435,11060
81257,11061
42053,11062
40000,11063
48411,11064
40000,11065
53496,11066
40000,11067
40000,11068
65760,11069
40000,11070
40000,11071
40000,11072
80125,11073
44035,11074
76877,11075
47480,11076
42983,11077
52797,11078
46239,11079
48328,11080
65686,11081
41586,11082
90972,11083
52121,11084
66437,11085
53234,11086
78081,11087
40000,11088
41004,11089
42025,11090
76253,11091
78588,11092
40000,11093
40000,11094
40000,11095
62132,11096
60027,11097
40000,11098
81756,11099
40000,11100
40000,11101
68721,11102
60761,11103
40000,11104
59803,11105
71446,11106
71066,11107
40000,11108
40000,11109
43063,11110
49777,11111
40000,11112
66401,11113
42370,11114
45364,11115
40000,11116
65945,11117
44310,11118
40000,11119
79352,11120
40000,11121
54157,11122
77539,11123
66045,11124
45360,11125
40000,11126
40000,11127
49544,11128
44204,11129
43172,11130
60792,11131
40000,11132
40000,11133
58731,11134
40000,11135
54770,11136
40000,11137
43154,11138
63596,11139
40000,11140
40000,11141
40000,11142
63264,11143
56144,11144
50480,11145
96019,11146
40000,11147
56344,11148
99680,11149
79045,11150
40000,11151
62169,11152
40000,11153
40000,11154
85737,11155
42448,11156
50629,11157
40000,11158
55943,11159
40000,11160
42700,11161
69873,11162
64988,11163
62630,11164
41030,11165
50996,11166
41462,11167
72944,11168
47680,11169
44531,11170
40000,11171
73262,11172
46609,11173
45806,11174
40000,11175
58670,11176
40000,11177
55571,11178
40069,11179
40000,11180
40000,11181
63677,11182
40000,11183
40000,11184
40000,11185
40000,11186
49530,11187
69516,11188
71798,11189
59220,11190
41001,11191
40000,11192
45258,11193
68149,11194
52089,11195
44671,11196
88741,11197
51071,11198
40000,11199
65008,11200
49454,11201
40000,11202
68049,11203
40000,11204
82102,11205
68802,11206
49728,11207
83660,11208
40000,11209
40000,11210
72668,11211
66041,11212
40000,11213
78975,11214
70468,11215
63757,11216
40000,11217
40000,11218
40000,11219
40000,11220
47184,11221
73559,11222
56878,11223
40000,11224
40000,11225
67366,11226
40000,11227
45862,11228
48214,11229
54402,11230
40000,11231
43863,11232
46070,11233
60412,11234
40000,11235
56204,11236
102547,11237
40000,11238
83636,11239
61739,11240
55964,11241
51852,11242
47598,11243
40000,11244
77791,11245
40000,11246
40000,11247
67711,11248
43324,11249
63572,11250
69432,11251
40000,11252
40000,11253
50562,11254
40000,11255
67685,11256
62901,11257
40000,11258
91628,11259
40000,11260
58175,11261
57033,11262
48695,11263
65827,11264
40000,11265
40000,11266
65990,11267
40000,11268
71092,11269
40000,11270
59015,11271
89679,11272
40000,11273
40000,11274
58382,11275
40000,11276
52519,11277
40000,11278
40000,11279
67177,11280
40000,11281
76282,11282
56439,11283
40000,11284
50426,11285
75397,11286
64454,11287
60782,11288
40000,11289
65034,11290
54307,11291
40000,11292
63418,11293
43768,11294
66622,11295
40000,11296
40000,11297
77952,11298
40000,11299
44380,11300
40000,11301
52934,11302
49413,11303
62295,11304
43393,11305
79215,11306
64887,11307
44014,11308
40000,11309
79768,11310
56393,11311
49130,11312
55301,11313
40000,11314
84316,11315
40000,11316
40000,11317
69853,11318
40000,11319
45118,11320
40783,11321
43021,11322
40000,11323
54288,11324
62458,11325
40000,11326
40000,11327
61119,11328
58591,11329
68922,11330
40000,11331
40000,11332
40000,11333
73839,11334
40000,11335
71404,11336
42659,11337
82210,11338
40000,11339
48813,11340
47896,11341
40000,11342
43306,11343
44490,11344
61656,11345
66099,11346
41524,11347
40000,11348
46356,11349
48090,11350
65863,11351
40000,11352
62812,11353
40000,11354
83126,11355
53112,11356
51285,11357
57117,11358
85969,11359
63466,11360
40978,11361
65693,11362
70183,11363
40000,11364
56463,11365
40000,11366
78730,11367
40000,11368
49907,11369
40000,11370
46423,11371
52023,11372
45912,11373
51611,11374
83880,11375
46964,11376
60961,11377
40000,11378
40000,11379
53345,11380
71747,11381
44122,11382
40000,11383
40000,11384
40000,11385
47726,11386
41824,11387
43632,11388
86011,11389
40000,11390
54638,11391
62114,11392
40000,11393
40000,11394
51673,11395
48918,11396
40000,11397
44625,11398
40324,11399
40000,11400
52021,11401
89345,11402
87912,11403
42907,11404
47098,11405
71834,11406
50395,11407
65600,11408
40000,11409
45665,11410
45516,11411
73045,11412
40220,11413
76725,11414
40000,11415
58151,11416
74114,11417
40000,11418
47542,11419
40000,11420
52416,11421
44085,11422
43947,11423
40000,11424
40000,11425
78109,11426
65177,11427
40000,11428
78620,11429
71181,11430
44804,11431
40208,11432
40000,11433
54798,11434
65726,11435
67921,11436
40000,11437
53950,11438
69470,11439
40000,11440
67352,11441
40000,11442
82308,11443
40000,11444
40000,11445
40000,11446
74396,11447
40000,11448
61434,11449
42732,11450
61848,11451
52083,11452
50997,11453
58237,11454
46590,11455
46367,11456
40000,11457
43739,11458
40000,11459
45712,11460
49398,11461
74001,11462
40000,11463
40000,11464
40000,11465
40472,11466
60924,11467
85983,11468
44625,11469
54614,11470
40000,11471
71642,11472
40000,11473
59016,11474
49565,11475
56449,11476
40000,11477
93693,11478
78157,11479
85687,11480
42627,11481
93516,11482
66924,11483
78045,11484
45743,11485
107118,11486
63779,11487
55704,11488
50394,11489
40000,11490
40000,11491
52639,11492
84934,11493
46637,11494
40220,11495
40000,11496
47324,11497
40000,11498
40000,11499
53141,11500
48608,11501
40000,11502
56928,11503
68510,11504
49847,11505
89747,11506
46183,11507
61373,11508
40000,11509
40000,11510
63552,11511
45659,11512
82525,11513
40000,11514
70182,11515
42666,11516
54453,11517
40000,11518
61444,11519
73886,11520
67809,11521
49279,11522
64203,11523
41081,11524
61691,11525
67591,11526
60212,11527
44026,11528
45513,11529
56081,11530
53370,11531
40000,11532
40000,11533
40000,11534
64204,11535
51854,11536
96023,11537
40000,11538
51616,11539
70043,11540
40000,11541
40000,11542
40000,11543
41062,11544
40000,11545
78216,11546
88701,11547
40000,11548
47524,11549
40000,11550
63612,11551
73942,11552
50541,11553
46065,11554
40000,11555
94203,11556
57561,11557
40000,11558
79916,11559
55608,11560
41388,11561
82255,11562
44919,11563
71216,11564
40000,11565
50466,11566
86261,11567
54673,11568
56536,11569
49184,11570
40000,11571
40000,11572
46194,11573
40000,11574
50896,11575
75077,11576
40000,11577
40000,11578
51201,11579
40000,11580
46950,11581
46584,11582
56846,11583
54421,11584
44852,11585
85929,11586
40000,11587
40000,11588
58444,11589
40000,11590
40000,11591
55959,11592
40000,11593
47334,11594
68224,11595
54076,11596
43205,11597
48112,11598
72403,11599
51994,11600
40000,11601
58575,11602
69180,11603
67601,11604
40000,11605
40000,11606
49584,11607
75458,11608
71954,11609
43598,11610
70990,11611
40000,11612
40000,11613
68728,11614
46591,11615
41900,11616
48838,11617
73416,11618
75765,11619
40000,11620
60596,11621
54953,11622
67994,11623
42001,11624
60333,11625
40000,11626
47168,11627
43966,11628
40000,11629
48782,11630
40000,11631
73029,11632
40000,11633
42068,11634
40000,11635
47900,11636
47301,11637
59646,11638
44728,11639
52520,11640
53327,11641
40000,11642
51970,11643
80722,11644
61796,11645
55411,11646
40000,11647
40000,11648
40000,11649
40000,11650
57164,11651
58583,11652
42624,11653
40000,11654
40000,11655
61926,11656
40000,11657
50087,11658
77527,11659
65758,11660
47700,11661
66700,11662
69423,11663
70380,11664
40000,11665
69278,11666
79814,11667
81323,11668
41183,11669
60931,11670
55227,11671
81212,11672
40000,11673
41454,11674
59823,11675
43310,11676
86658,11677
54238,11678
47190,11679
83768,11680
40000,11681
48241,11682
40000,11683
68753,11684
40000,11685
40000,11686
40000,11687
62954,11688
88980,11689
44420,11690
46240,11691
61845,11692
70403,11693
40000,11694
46989,11695
51633,11696
44268,11697
92931,11698
40000,11699
51475,11700
61097,11701
94495,11702
40000,11703
48727,11704
79701,11705
61482,11706
55379,11707
68112,11708
43381,11709
41951,11710
53170,11711
40000,11712
53387,11713
40000,11714
48995,11715
40000,11716
58955,11717
60112,11718
76415,11719
41731,11720
40000,11721
40000,11722
91895,11723
40000,11724
41545,11725
46017,11726
54335,11727
41427,11728
75926,11729
97213,11730
40000,11731
40000,11732
46092,11733
49728,11734
40000,11735
44127,11736
48832,11737
58432,11738
43666,11739
79335,11740
59925,11741
56759,11742
57591,11743
40000,11744
48355,11745
55951,11746
90239,11747
54491,11748
40000,11749
40000,11750
40000,11751
60876,11752
80308,11753
43638,11754
56874,11755
59493,11756
40000,11757
43432,11758
40000,11759
40000,11760
52986,11761
52050,11762
40000,11763
64875,11764
40000,11765
40000,11766
55832,11767
40509,11768
40000,11769
40000,11770
40000,11771
61295,11772
40000,11773
40000,11774
40000,11775
77997,11776
40000,11777
40000,11778
40000,11779
49009,11780
67981,11781
40000,11782
40000,11783
58447,11784
111231,11785
40000,11786
40000,11787
59292,11788
41863,11789
41777,11790
40000,11791
40000,11792
40000,11793
40000,11794
40000,11795
63002,11796
88050,11797
81093,11798
58726,11799
40000,11800
67265,11801
60280,11802
40000,11803
46168,11804
40000,11805
45424,11806
40000,11807
51897,11808
55101,11809
41256,11810
52695,11811
47297,11812
94687,11813
40000,11814
52239,11815
53163,11816
50638,11817
44252,11818
59829,11819
46244,11820
50404,11821
67396,11822
72637,11823
41033,11824
53906,11825
49062,11826
43015,11827
59619,11828
40000,11829
67232,11830
51751,11831
40000,11832
66574,11833
84003,11834
40000,11835
40000,11836
55519,11837
68674,11838
73024,11839
52977,11840
90296,11841
40000,11842
48703,11843
78049,11844
40000,11845
53448,11846
64449,11847
58804,11848
63730,11849
62811,11850
41508,11851
66717,11852
61941,11853
40000,11854
64165,11855
40000,11856
94805,11857
40335,11858
79630,11859
52102,11860
66619,11861
46011,11862
54220,11863
52517,11864
40000,11865
40481,11866
53552,11867
48349,11868
62968,11869
92890,11870
67424,11871
43159,11872
52243,11873
72605,11874
62315,11875
45372,11876
50777,11877
59403,11878
40000,11879
85790,11880
76541,11881
49334,11882
58135,11883
79860,11884
43445,11885
40000,11886
40000,11887
53720,11888
41636,11889
65525,11890
40000,11891
50901,11892
50514,11893
56198,11894
66950,11895
40000,11896
80049,11897
43347,11898
40864,11899
73147,11900
78197,11901
40000,11902
48959,11903
71752,11904
40251,11905
81324,11906
40000,11907
79580,11908
48724,11909
58018,11910
40000,11911
49842,11912
40000,11913
40000,11914
58042,11915
66691,11916
40000,11917
40000,11918
40000,11919
69818,11920
45865,11921
40000,11922
40000,11923
62705,11924
55133,11925
41612,11926
76086,11927
40000,11928
40000,11929
50704,11930
73369,11931
44255,11932
56130,11933
42846,11934
72224,11935
81194,11936
75590,11937
40000,11938
64815,11939
60193,11940
52224,11941
77391,11942
68057,11943
52061,11944
53056,11945
66544,11946
54249,11947
49929,11948
40000,11949
41360,11950
40000,11951
53243,11952
51390,11953
81841,11954
40000,11955
68564,11956
58955,11957
57996,11958
47935,11959
40000,11960
83539,11961
40000,11962
40000,11963
71667,11964
57709,11965
61626,11966
40000,11967
65439,11968
91787,11969
40000,11970
40000,11971
52908,11972
40000,11973
61173,11974
40000,11975
70345,11976
40000,11977
56414,11978
50796,11979
58241,11980
42925,11981
40000,11982
40000,11983
59501,11984
40000,11985
48563,11986
40000,11987
57652,11988
40000,11989
63106,11990
61223,11991
40000,11992
56505,11993
49761,11994
55714,11995
52870,11996
40000,11997
58617,11998
40000,11999
50678,12000
71467,12001
42654,12002
59540,12003
58136,12004
46505,12005
44032,12006
40000,12007
68535,12008
55614,12009
40000,12010
85833,12011
72898,12012
70615,12013
55769,12014
42853,12015
42839,12016
50760,12017
46011,12018
40000,12019
73508,12020
40000,12021
63140,12022
40000,12023
65580,12024
62126,12025
76571,12026
45038,12027
51314,12028
41474,12029
40000,12030
51383,12031
40000,12032
49992,12033
40148,12034
40000,12035
67143,12036
47805,12037
40000,12038
44145,12039
64813,12040
65814,12041
52176,12042
49009,12043
40000,12044
40000,12045
70172,12046
52051,12047
56508,12048
46155,12049
46704,12050
49750,12051
40000,12052
48319,12053
67400,12054
60201,12055
40000,12056
75815,12057
61378,12058
45275,12059
40000,12060
62796,12061
44199,12062
56022,12063
40000,12064
51884,12065
69228,12066
72160,12067
51401,12068
51928,12069
50233,12070
40000,12071
40000,12072
40000,12073
40000,12074
40000,12075
75381,12076
50388,12077
44947,12078
43632,12079
47946,12080
54699,12081
72118,12082
56808,12083
40000,12084
41358,12085
66388,12086
45432,12087
69081,12088
46288,12089
46269,12090
40000,12091
40000,12092
40000,12093
44788,12094
57978,12095
63911,12096
90243,12097
62575,12098
104610,12099
70999,12100
40000,12101
90853,12102
56188,12103
43465,12104
40000,12105
40000,12106
54485,12107
56691,12108
43689,12109
45382,12110
47294,12111
76538,12112
73294,12113
40000,12114
52562,12115
40813,12116
40000,12117
40000,12118
69109,12119
71783,12120
53929,12121
46398,12122
64879,12123
50872,12124
41215,12125
56921,12126
66740,12127
81527,12128
67618,12129
59494,12130
40000,12131
40000,12132
40000,12133
53503,12134
40000,12135
40000,12136
46294,12137
40000,12138
40000,12139
40000,12140
53897,12141
48378,12142
57666,12143
40000,12144
40000,12145
53521,12146
40000,12147
42040,12148
109934,12149
48057,12150
82191,12151
82078,12152
62254,12153
49909,12154
55355,12155
55022,12156
40000,12157
53389,12158
61210,12159
60391,12160
40000,12161
40000,12162
54110,12163
43366,12164
41951,12165
40000,12166
57757,12167
40000,12168
40000,12169
40000,12170
76375,12171
40000,12172
58321,12173
40000,12174
42918,12175
40000,12176
50570,12177
73367,12178
57733,12179
40000,12180
80475,12181
81444,12182
40000,12183
77277,12184
65420,12185
70221,12186
40000,12187
47964,12188
70923,12189
40000,12190
45307,12191
41625,12192
40000,12193
49340,12194
59882,12195
41979,12196
54456,12197
40313,12198
99287,12199
59884,12200
40000,12201
40000,12202
56668,12203
40000,12204
40000,12205
40000,12206
40000,12207
63683,12208
50420,12209
40000,12210
40000,12211
40000,12212
79834,12213
54681,12214
69252,12215
40000,12216
40000,12217
40000,12218
57507,12219
53075,12220
56736,12221
55840,12222
54459,12223
59714,12224
61090,12225
40000,12226
40000,12227
40000,12228
54321,12229
53692,12230
40000,12231
82709,12232
54678,12233
54921,12234
100755,12235
55907,12236
59019,12237
40000,12238
40000,12239
40000,12240
59930,12241
46911,12242
40785,12243
40000,12244
57640,12245
40000,12246
59183,12247
45054,12248
70099,12249
61573,12250
83518,12251
40000,12252
54124,12253
44848,12254
57304,12255
40000,12256
56495,12257
40748,12258
77426,12259
83671,12260
84058,12261
49633,12262
53078,12263
51816,12264
40000,12265
45079,12266
75510,12267
48612,12268
40000,12269
52840,12270
40000,12271
43811,12272
90736,12273
40000,12274
43671,12275
59844,12276
43960,12277
40000,12278
40000,12279
58288,12280
45417,12281
40000,12282
57626,12283
55920,12284
65800,12285
40000,12286
40000,12287
43296,12288
41606,12289
60429,12290
67506,12291
57645,12292
67543,12293
77586,12294
78131,12295
63405,12296
68376,12297
62015,12298
40000,12299
40000,12300
40835,12301
40000,12302
40000,12303
40000,12304
40000,12305
86718,12306
40000,12307
58741,12308
40000,12309
62984,12310
40000,12311
52344,12312
45777,12313
40000,12314
56609,12315
46261,12316
40000,12317
73225,12318
40000,12319
69973,12320
105071,12321
56115,12322
40000,12323
59755,12324
74200,12325
57236,12326
67449,12327
51299,12328
40000,12329
46984,12330
